iteration,episode_return_mean,episode_len_mean
0,17.155172413793103,17.137931034482758
1,17.75,17.75
2,18.071428571428573,18.053571428571427
3,18.962264150943398,18.88679245283019
4,19.215686274509803,19.15686274509804
5,19.784313725490197,19.745098039215687
6,20.28,20.24
7,21.106382978723403,21.06382978723404
8,21.170212765957448,21.106382978723403
9,21.934782608695652,21.869565217391305
10,22.90909090909091,22.863636363636363
11,22.863636363636363,22.772727272727273
12,22.84090909090909,22.795454545454547
13,22.636363636363637,22.568181818181817
14,23.022727272727273,22.977272727272727
15,23.325581395348838,23.27906976744186
16,23.302325581395348,23.186046511627907
17,23.738095238095237,23.666666666666668
18,23.69047619047619,23.5
19,23.25,23.136363636363637
20,22.522727272727273,22.454545454545453
21,22.886363636363637,22.886363636363637
22,22.377777777777776,22.31111111111111
23,23.162790697674417,23.11627906976744
24,22.636363636363637,22.613636363636363
25,23.302325581395348,23.209302325581394
26,22.954545454545453,22.90909090909091
27,23.904761904761905,23.738095238095237
28,25.25,25.125
29,23.523809523809526,23.404761904761905
30,24.047619047619047,23.928571428571427
31,22.444444444444443,22.4
32,22.90909090909091,22.795454545454547
33,23.0,22.90909090909091
34,23.357142857142858,23.30952380952381
35,23.181818181818183,23.136363636363637
36,24.048780487804876,23.975609756097562
37,24.476190476190474,24.285714285714285
38,24.825,24.725
39,23.80952380952381,23.761904761904763
40,23.69047619047619,23.666666666666668
41,24.682926829268293,24.5609756097561
42,23.511627906976745,23.3953488372093
43,23.952380952380953,23.80952380952381
44,24.0,23.833333333333332
45,23.88095238095238,23.833333333333332
46,24.75,24.6
47,23.928571428571427,23.833333333333332
48,25.175,25.075
49,25.075,24.975
50,25.53846153846154,25.46153846153846
51,25.675,25.525
52,25.333333333333332,25.128205128205128
53,24.523809523809526,24.333333333333332
54,24.048780487804876,23.951219512195124
55,24.19047619047619,24.142857142857142
56,23.61904761904762,23.523809523809526
57,23.833333333333332,23.714285714285715
58,23.627906976744185,23.58139534883721
59,24.463414634146343,24.390243902439025
60,24.414634146341463,24.317073170731707
61,23.511627906976745,23.41860465116279
62,24.121951219512194,24.024390243902438
63,22.977272727272727,22.886363636363637
64,24.095238095238095,24.047619047619047
65,22.636363636363637,22.59090909090909
66,23.738095238095237,23.642857142857142
67,24.414634146341463,24.29268292682927
68,23.857142857142858,23.833333333333332
69,23.53488372093023,23.53488372093023
70,24.609756097560975,24.536585365853657
71,23.714285714285715,23.61904761904762
72,23.904761904761905,23.857142857142858
73,23.642857142857142,23.595238095238095
74,23.348837209302324,23.302325581395348
75,24.51219512195122,24.390243902439025
76,24.023809523809526,23.952380952380953
77,24.317073170731707,24.317073170731707
78,24.536585365853657,24.48780487804878
79,23.80952380952381,23.714285714285715
80,24.4390243902439,24.29268292682927
81,24.75609756097561,24.634146341463413
82,24.875,24.825
83,24.146341463414632,24.073170731707318
84,25.4,25.275
85,24.365853658536587,24.29268292682927
86,24.70731707317073,24.609756097560975
87,24.414634146341463,24.341463414634145
88,23.69047619047619,23.61904761904762
89,24.51219512195122,24.48780487804878
90,24.317073170731707,24.24390243902439
91,24.19047619047619,24.166666666666668
92,24.95,24.9
93,24.26829268292683,24.195121951219512
94,25.743589743589745,25.615384615384617
95,25.71794871794872,25.615384615384617
96,24.878048780487806,24.829268292682926
97,24.925,24.825
98,24.609756097560975,24.536585365853657
99,24.625,24.55
