iteration,episode_return_mean,episode_len_mean
0,15.903225806451612,15.870967741935484
1,15.625,15.625
2,15.78125,15.71875
3,16.4,16.366666666666667
4,15.9375,15.90625
5,15.40625,15.40625
6,14.194444444444445,14.194444444444445
7,13.472222222222221,13.472222222222221
8,14.083333333333334,14.083333333333334
9,13.210526315789474,13.210526315789474
10,12.146341463414634,12.146341463414634
11,12.023809523809524,12.023809523809524
12,11.295454545454545,11.295454545454545
13,11.744186046511627,11.744186046511627
14,11.674418604651162,11.674418604651162
15,11.534883720930232,11.534883720930232
16,11.295454545454545,11.295454545454545
17,11.244444444444444,11.244444444444444
18,10.73913043478261,10.73913043478261
19,10.847826086956522,10.847826086956522
20,11.11111111111111,11.11111111111111
21,11.627906976744185,11.627906976744185
22,10.5,10.5
23,10.956521739130435,10.956521739130435
24,12.461538461538462,12.461538461538462
25,10.479166666666666,10.479166666666666
26,12.071428571428571,12.071428571428571
27,10.25,10.25
28,11.454545454545455,11.454545454545455
29,11.066666666666666,11.066666666666666
30,12.871794871794872,12.871794871794872
31,12.7,12.7
32,12.973684210526315,12.973684210526315
33,12.365853658536585,12.365853658536585
34,13.0,13.0
35,12.195121951219512,12.195121951219512
36,12.170731707317072,12.097560975609756
37,12.675,12.675
38,14.114285714285714,14.114285714285714
39,13.833333333333334,13.833333333333334
40,12.487804878048781,12.463414634146341
41,14.257142857142858,14.257142857142858
42,13.75,13.75
43,15.375,15.375
44,13.837837837837839,13.81081081081081
45,15.5625,15.5625
46,13.162162162162161,13.162162162162161
47,12.974358974358974,12.974358974358974
48,14.676470588235293,14.676470588235293
49,14.514285714285714,14.514285714285714
50,14.285714285714286,14.285714285714286
51,14.027777777777779,14.027777777777779
52,14.757575757575758,14.727272727272727
53,14.027777777777779,14.027777777777779
54,14.371428571428572,14.371428571428572
55,12.794871794871796,12.76923076923077
56,13.342105263157896,13.31578947368421
57,14.848484848484848,14.848484848484848
58,14.055555555555555,14.055555555555555
59,15.75,15.75
60,14.588235294117647,14.588235294117647
61,14.93939393939394,14.93939393939394
62,14.676470588235293,14.676470588235293
63,14.257142857142858,14.257142857142858
64,15.424242424242424,15.424242424242424
