iteration,episode_return_mean,episode_len_mean
0,18.884615384615383,18.826923076923077
1,17.982142857142858,17.982142857142858
2,18.537037037037038,18.51851851851852
3,18.272727272727273,18.272727272727273
4,19.21153846153846,19.192307692307693
5,19.50980392156863,19.49019607843137
6,19.51923076923077,19.46153846153846
7,19.54901960784314,19.529411764705884
8,20.958333333333332,20.916666666666668
9,21.21276595744681,21.21276595744681
10,21.76086956521739,21.73913043478261
11,21.4468085106383,21.382978723404257
12,21.630434782608695,21.608695652173914
13,21.869565217391305,21.82608695652174
14,22.431818181818183,22.40909090909091
15,22.444444444444443,22.377777777777776
16,22.568181818181817,22.522727272727273
17,22.488888888888887,22.444444444444443
18,22.727272727272727,22.59090909090909
19,23.325581395348838,23.27906976744186
20,22.155555555555555,22.044444444444444
21,23.136363636363637,23.068181818181817
22,23.232558139534884,23.11627906976744
23,23.11627906976744,23.093023255813954
24,23.022727272727273,22.954545454545453
25,23.488372093023255,23.46511627906977
26,21.847826086956523,21.717391304347824
27,22.244444444444444,22.22222222222222
28,22.522727272727273,22.454545454545453
29,22.954545454545453,22.90909090909091
30,22.568181818181817,22.522727272727273
31,22.333333333333332,22.288888888888888
32,22.931818181818183,22.84090909090909
33,22.795454545454547,22.75
34,22.355555555555554,22.288888888888888
35,22.59090909090909,22.522727272727273
36,22.953488372093023,22.930232558139537
37,22.90909090909091,22.818181818181817
38,23.09090909090909,23.022727272727273
39,22.931818181818183,22.84090909090909
40,23.571428571428573,23.5
41,23.857142857142858,23.785714285714285
42,24.951219512195124,24.75609756097561
43,24.48780487804878,24.341463414634145
44,24.195121951219512,24.170731707317074
45,23.80952380952381,23.785714285714285
46,23.441860465116278,23.41860465116279
47,23.833333333333332,23.80952380952381
48,23.11627906976744,23.11627906976744
49,23.761904761904763,23.69047619047619
50,22.931818181818183,22.886363636363637
51,23.61904761904762,23.571428571428573
52,23.767441860465116,23.651162790697676
53,23.232558139534884,23.232558139534884
54,22.818181818181817,22.772727272727273
55,23.162790697674417,23.093023255813954
56,22.90909090909091,22.818181818181817
57,23.452380952380953,23.452380952380953
58,21.97826086956522,21.934782608695652
59,22.772727272727273,22.704545454545453
60,22.681818181818183,22.613636363636363
61,22.444444444444443,22.355555555555554
62,22.727272727272727,22.636363636363637
63,23.27906976744186,23.232558139534884
64,23.25581395348837,23.232558139534884
65,23.46511627906977,23.41860465116279
66,23.511627906976745,23.511627906976745
67,24.146341463414632,24.073170731707318
68,23.022727272727273,22.954545454545453
69,23.093023255813954,23.046511627906977
70,23.697674418604652,23.53488372093023
71,23.13953488372093,23.069767441860463
72,24.29268292682927,24.21951219512195
73,24.023809523809526,23.952380952380953
74,24.414634146341463,24.317073170731707
75,23.697674418604652,23.58139534883721
76,23.333333333333332,23.285714285714285
77,23.558139534883722,23.511627906976745
78,23.069767441860463,23.0
79,23.46511627906977,23.441860465116278
80,24.463414634146343,24.317073170731707
81,23.58139534883721,23.511627906976745
82,23.833333333333332,23.80952380952381
83,23.904761904761905,23.80952380952381
84,23.571428571428573,23.428571428571427
85,23.372093023255815,23.302325581395348
86,23.09090909090909,23.022727272727273
87,23.232558139534884,23.209302325581394
88,23.488372093023255,23.3953488372093
89,23.404761904761905,23.333333333333332
90,23.80952380952381,23.738095238095237
91,24.404761904761905,24.30952380952381
92,24.414634146341463,24.317073170731707
93,23.69047619047619,23.642857142857142
94,24.609756097560975,24.51219512195122
95,23.833333333333332,23.80952380952381
96,24.341463414634145,24.170731707317074
97,23.441860465116278,23.41860465116279
98,24.071428571428573,23.928571428571427
99,24.24390243902439,24.097560975609756
100,24.38095238095238,24.285714285714285
101,23.357142857142858,23.285714285714285
102,24.48780487804878,24.414634146341463
103,25.175,25.0
104,24.333333333333332,24.261904761904763
105,24.525,24.4
106,25.170731707317074,25.024390243902438
107,23.785714285714285,23.714285714285715
108,24.575,24.475
109,24.804878048780488,24.73170731707317
110,24.047619047619047,23.88095238095238
111,24.51219512195122,24.463414634146343
112,24.365853658536587,24.21951219512195
113,23.904761904761905,23.904761904761905
